type,Points,Name,url_fix
All Rounder,26,Remco Evenepoel,
All Rounder,24,Primož Roglič,
All Rounder,18, Geraint Thomas,
All Rounder,16,João Almeida,
All Rounder,14,Aleksandr Vlasov ,
All Rounder,12,Thymen Arensman,
All Rounder,12,Pavel Sivakov,
All Rounder,10,Brandon McNulty,
All Rounder,8,Warren Barguil,
All Rounder,8,Bob Jungels,
All Rounder,8,Bauke Mollema,
All Rounder,8,Diego Ulissi,
All Rounder,8,Rigoberto Urán,
Climber,16,Tao Geoghegan Hart,
Climber,12,Jack Haig,
Climber,12,Jay Vine,
Climber,10,Hugh Carthy,
Climber,1,Damiano Caruso,
Climber,10,Lennard Kämna,
Climber,10,Thibaut Pinot,
Climber,8,Koen Bouwman,
Climber,8,Santiago Buitrago,https://www.procyclingstats.com/rider/santiago-buitrago-sanchez
Climber,8,Lorenzo Fortunato,
Climber,8, Jan Hirt,
Climber,8,Sepp Kuss,
Climber,8,Domenico Pozzovivo,
Climber,6,Jefferson Alexander Cepeda,
Climber,6,Alessandro Covi,
Climber,6,Davide Formolo,
Climber,6,Patrick Konrad,
Climber,6,Óscar Rodríguez,
Climber,6,Einer Augusto Rubio,https://www.procyclingstats.com/rider/einer-augusto-rubio-reyes
Climber,6, Rein Taaramäe,
Climber,6,Ilan Van Wilder,
Climber,6,Harm Vanhoucke,
Climber,6,Carlos Verona,
Unclassified,10, Filippo Ganna,
Unclassified,8,Magnus Cort,https://www.procyclingstats.com/rider/magnus-cort-nielsen
Unclassified,8,Rohan Dennis,
Unclassified,8,Thomas Gloag,
Unclassified,8,Stefan Küng,
Unclassified,6,Edoardo Affini,
Unclassified,6,Giovanni Aleotti,
Unclassified,6,Bruno Armirail,
Unclassified,6,Samuele Battistella,
Unclassified,6,Alberto Bettiol,
Unclassified,6,Niccolò Bonifazio,
Unclassified,6,Sven Erik Bystrøm,
Unclassified,6,Jonathan Klever Caicedo,
Unclassified,6,Mattia Cattaneo,
Unclassified,6,Josef Černý,
Unclassified,6,Mikaël Cherel,
Unclassified,6,Simon Clarke,
Unclassified,6,Nicola Conci,
Unclassified,6,Luca Covili,
Unclassified,6,Stefan De Bod,
Unclassified,6,Alessandro De Marchi,
Unclassified,6,Laurens De Plus,
Unclassified,6,Joe Dombrowski,
Unclassified,6,Eddie Dunbar,https://www.procyclingstats.com/rider/edward-irl-dunbar
Unclassified,6,Davide Gabburo,
Unclassified,6,Francesco Gavazzi,
Unclassified,6,Ryan Gibbons,
Unclassified,6,Thibault Guernalec,
Unclassified,6,Ben Healy,
Unclassified,6,Michael Hepburn,
Unclassified,6,Michel Hessmann,
Unclassified,6,Jonathan Lastra,
Unclassified,6,Andreas Leknessund,
Unclassified,6,Rudy Molard,
Unclassified,6,Gianni Moscon,
Unclassified,6,Henok Mulubrhan,
Unclassified,6,Stefano Oldani,
Unclassified,6,Sam Oomen,
Unclassified,6,Aurélien Paret-Peintre,
Unclassified,6,Andrea Pasqualon,
Unclassified,6,Matthew Riccitello,
Unclassified,6,Oscar Riesebeek,
Unclassified,6,Rémy Rochas,
Unclassified,6,José Joaquín Rojas,
Unclassified,6,Lorenzo Rota,
Unclassified,6,Luis León Sánchez,
Unclassified,6,Kristian Sbaragli,
Unclassified,6,Christian Scaroni,
Unclassified,6,Toms Skujiņš,
Unclassified,6,Jake Stewart,
Unclassified,6,Ben Swift,
Unclassified,6,Natnael Tesfatsion,
Unclassified,6,Alessandro Tonelli,
Unclassified,6,Simone Velasco,
Unclassified,6,Louis Vervaeke,
Unclassified,6,Edoardo Zambanini,
Unclassified,6, Filippo Zana,
Unclassified,4, Yukiya Arashiro,
Unclassified,4,Davide Bais,
Unclassified,4,Mattia Bais,
Unclassified,4,Will Barta,https://www.procyclingstats.com/rider/william-barta
Unclassified,4,Alex Baudin,
Unclassified,4,Cesare Benedetti,
Unclassified,4,Sebastian Berwick,
Unclassified,4,François Bidard,
Unclassified,4,Maxime Bouet ,
Unclassified,4,Thomas Champion,
Unclassified,4,Valerio Conti,
Unclassified,4,Alexandre Delettre,
Unclassified,4,Nico Denz,
Unclassified,4,Erik Fetter,
Unclassified,4,Marco Frigo,
Unclassified,4,Stefano Gandin,
Unclassified,4,Derek Gee,
Unclassified,4,Amanuel Ghebreigzabhier,
Unclassified,4,Daan Hoole,
Unclassified,4,Laurens Huys,
Unclassified,4,Jonas Iversby Hvideberg,
Unclassified,4,Alessandro Iacchi,
Unclassified,4,Alex Kirsch,
Unclassified,4,Ignatas Konovalovas,
Unclassified,4,Alexander Konychev,
Unclassified,4,Alexander Krieger,
Unclassified,4,Paul Lapeira,
Unclassified,4,Senne Leysen,
Unclassified,4,Fabian Lienhard,
Unclassified,4,Mirco Maestri,
Unclassified,4,Filippo Magli,https://www.procyclingstats.com/rider/filippo-magli2
Unclassified,4,Martin Marcellusi,
Unclassified,4,Niklas Märkl,
Unclassified,4,Anton Palzer,
Unclassified,4,Valentin Paret-Peintre,
Unclassified,4,Simone Petilli,
Unclassified,4,Lukas Pöstlberger,
Unclassified,4,Nicolas Prodhomme,
Unclassified,4,Vadim Pronskiy,
Unclassified,4,Salvatore Puccio,
Unclassified,4,Charlie Quarterman,
Unclassified,4,Laurenz Rex,
Unclassified,4,Michel Ries,
Unclassified,4,Alan Riou,
Unclassified,4,Clément Russo,
Unclassified,4, Callum Scotson,
Unclassified,4,Pieter Serry,
Unclassified,4,Diego Pablo Sevilla,
Unclassified,4,Ramon Sinkeldam,
Unclassified,4,Campbell Stewart,
Unclassified,4,Veljko Stojnić,
Unclassified,4,Florian Stork,
Unclassified,4,Jasha Sütterlin,
Unclassified,4,Albert Torres,
Unclassified,4,Hugo Toumire,
Unclassified,4,Martijn Tusveld,
Unclassified,4,Karel Vacek,
Unclassified,4,Lars Van Den Berg,
Unclassified,4,Otto Vergaerde,
Unclassified,4,Alessandro Verre,
Unclassified,4,Larry Warbasse,https://www.procyclingstats.com/rider/lawrence-warbasse
Unclassified,4,Stephen Williams,
Unclassified,4,Mads Würtz Schmidt,
Unclassified,4,Samuele Zoccarato,
Sprinter,14,Mads Pedersen,
Sprinter,10,Pascal Ackermann,
Sprinter,10,Fernando Gaviria,
Sprinter,10,  Michael Matthews,
Sprinter,8,Mark Cavendish,
Sprinter,8,Simone Consonni,
Sprinter,8,Alberto Dainese,
Sprinter,8,Kaden Groves,
Sprinter,8,Max Kanter,
Sprinter,8,Jonathan Milan,
Sprinter,6, Vincenzo Albanese,
Sprinter,6,Davide Ballerini,
Sprinter,6,Davide Cimolai,
Sprinter,6,Nicolas Dalla Valle,
Sprinter,6,David Dekker,
Sprinter,6,Filippo Fiorelli,
Sprinter,6, Arne Marit,
Sprinter,6, Marius Mayrhofer,
Sprinter,6, Andrea Vendrame,
