,type,Points,Name,url_fix,Name_clean,dob,weight,height,oneday,GC,TT,sprint,climber,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
0,All Rounder,26,Remco Evenepoel,,Remco-Evenepoel,23,61,1.71,1889,1889,1833,104,2477,1043,2733,1200,898,916,,,,,,,,,,,,,,,,,
1,All Rounder,24,Primož Roglič,,Primoz-Roglic,33,65,1.77,1537,1537,4436,163,7400,842,1205,2564,2431,2818,1666,1328,460,451,131,7,,,,,,,,,,,
2,All Rounder,18, Geraint Thomas,,Geraint-Thomas,36,71,1.83,1236,1236,4757,909,5090,30,985,805,398,865,1658,802,878,1157,877,704,203,565,308,55,36,32,43,2,,,
3,All Rounder,16,João Almeida,,Joao-Almeida,24,63,1.78,396,396,1332,107,2745,507,971,1714,875,119,55,46,,,,,,,,,,,,,,,
4,All Rounder,14,Aleksandr Vlasov ,,Aleksandr-Vlasov,27,68,1.86,918,918,574,81,3242,214,1715,845,1023,514,153,6,2,7,,,,,,,,,,,,,
5,All Rounder,12,Thymen Arensman,,Thymen-Arensman,23,68,1.92,32,32,681,18,982,46,1053,169,80,,26,,,,,,,,,,,,,,,,
6,All Rounder,12,Pavel Sivakov,,Pavel-Sivakov,25,70,1.88,459,459,412,39,1610,262,583,327,416,808,160,124,49,,,,,,,,,,,,,,
7,All Rounder,10,Brandon McNulty,,Brandon-McNulty,25,69,1.83,529,529,1004,54,1574,329,789,399,413,218,268,28,,,,,,,,,,,,,,,
8,All Rounder,8,Warren Barguil,,Warren-Barguil,31,61,1.82,2397,2397,106,232,4411,107,766,529,671,606,424,969,603,440,588,333,85,66,,,,,,,,,
9,All Rounder,8,Bob Jungels,,Bob-Jungels,30,70,1.89,1140,1140,2680,332,2502,47,546,42,136,593,996,759,843,517,240,335,184,65,,,,,,,,,
10,All Rounder,8,Bauke Mollema,,Bauke-Mollema,36,64,1.83,4836,4836,1978,726,9514,96,650,1170,321,1328,1167,1318,1050,1145,1156,1422,783,1165,533,31,180,179,9,,,,
11,All Rounder,8,Diego Ulissi,,Diego-Ulissi,33,63,1.75,4820,4820,983,899,6723,323,758,890,1181,1246,896,1391,1543,644,752,1097,557,450,221,7,,,,,,,
12,All Rounder,8,Rigoberto Urán,,Rigoberto-Uran,36,63,1.73,3076,3076,1757,762,7788,119,612,700,352,525,1009,1405,713,1277,922,770,1228,834,424,249,498,190,2,,,,
